"season","date","team","gameid","opponent","venue","homeaway","result","reg","oppreg","final","oppfinal","Poss","OppPoss","OffRtg","DefRtg","eFG%","TO%","OR%","FTR","OppeFG%","OppTO%","OppOR%","OppFTR","FG%","OppFG%","3PT%","Opp3PT%","FT%","OppFT%","Min","FIC","Off","Def","Reb","Ast","PF","STL","TO","BLK","PTS","FGM","FGA","3PM","3PA","FTM","FTA","OppFIC","OppOff","OppDef","OppReb","OppAst","OppPF","OppSTL","OppTO","OppBLK","OppPTS","OppFGM","OppFGA","Opp3PM","Opp3PA","OppFTM","OppFTA","teamOdds","oppOdds","teamLine","totalLine","playoffGame","ot","mov"
"2020",2019-11-04,"Sydney Kings","336794","Melbourne United","Melbourne Arena","Away",0,104,107,104,107,82,82,126.8,130.4,0.636,0.146,0.25,0.214,0.538,0.085,0.368,0.263,52.9,45,45.5,35,57.7,80.8,"200",78.5,11,30,41,23,21,1,12,6,104,37,70,15,33,15,26,76.8,15,26,41,16,21,7,7,2,107,36,80,14,40,21,26,2,1.82,1.5,179.5,"N","N",-3
"2020",2019-11-03,"Illawarra Hawks","336793","Brisbane Bullets","WIN Entertainment Centre","Home",0,69,83,69,83,79,79,87.8,105.7,0.387,0.115,0.194,0.197,0.529,0.153,0.159,0.145,32.4,43.5,26.5,35.1,77.8,76.9,"200",47.2,10,31,41,16,13,6,10,3,69,23,71,9,34,14,18,66.1,8,39,47,20,18,3,13,3,83,30,69,13,37,10,13,2.7,1.47,5,176.5,"N","N",-14
"2020",2019-11-03,"Brisbane Bullets","336793","Illawarra Hawks","WIN Entertainment Centre","Away",1,83,69,83,69,79,79,105.7,87.8,0.529,0.153,0.159,0.145,0.387,0.115,0.194,0.197,43.5,32.4,35.1,26.5,76.9,77.8,"200",66.1,8,39,47,20,18,3,13,3,83,30,69,13,37,10,13,47.2,10,31,41,16,13,6,10,3,69,23,71,9,34,14,18,1.47,2.7,-5,176.5,"N","N",14
"2020",2019-11-03,"New Zealand Breakers","336792","Perth Wildcats","Vector Arena","Home",0,79,84,79,84,73,73,108.9,115.8,0.603,0.22,0.138,0.155,0.493,0.11,0.405,0.164,51.7,43.8,37,29.6,81.8,70.6,"200",58.1,4,26,30,21,18,5,16,3,79,30,58,10,27,9,11,68.9,15,26,41,21,13,8,9,0,84,32,73,8,27,12,17,2.2,1.68,2.5,174.5,"N","N",-5
"2020",2019-11-03,"Perth Wildcats","336792","New Zealand Breakers","Vector Arena","Away",1,84,79,84,79,73,73,115.8,108.9,0.493,0.11,0.405,0.164,0.603,0.22,0.138,0.155,43.8,51.7,29.6,37,70.6,81.8,"200",68.9,15,26,41,21,13,8,9,0,84,32,73,8,27,12,17,58.1,4,26,30,21,18,5,16,3,79,30,58,10,27,9,11,1.68,2.2,-2.5,174.5,"N","N",5
"2020",2019-11-02,"South East Melbourne Phoenix","336791","Melbourne United","","Home",0,98,110,98,110,87,87,112,125.7,0.558,0.16,0.243,0.304,0.531,0.137,0.341,0.313,50.7,46.3,41.2,37.9,72.4,78.1,"200",71.4,10,30,40,20,25,11,14,1,98,35,69,7,17,21,29,72.2,17,27,44,16,24,5,12,3,110,37,80,11,29,25,32,2.02,1.8,1.5,188.5,"N","N",-12
"2020",2019-11-02,"Melbourne United","336791","South East Melbourne Phoenix","","Away",1,110,98,110,98,87,87,125.7,112,0.531,0.137,0.341,0.313,0.558,0.16,0.243,0.304,46.3,50.7,37.9,41.2,78.1,72.4,"200",72.2,17,27,44,16,24,5,12,3,110,37,80,11,29,25,32,71.4,10,30,40,20,25,11,14,1,98,35,69,7,17,21,29,1.8,2.02,-1.5,188.5,"N","N",12
"2020",2019-11-02,"Adelaide 36ers","336790","Sydney Kings","Adelaide Arena","Home",0,86,86,96,98,96,96,100.2,102.3,0.466,0.115,0.234,0.146,0.466,0.157,0.24,0.195,41.6,40.2,37.5,25.6,68.4,81,"225",62.6,12,37,49,14,21,10,11,0,96,37,89,9,24,13,19,67.4,15,41,56,19,22,6,15,3,98,35,87,11,43,17,21,2.75,1.45,5,184.5,"N","Y",-2
"2020",2019-11-02,"Sydney Kings","336790","Adelaide 36ers","Adelaide Arena","Away",1,86,86,98,96,96,96,102.3,100.2,0.466,0.157,0.24,0.195,0.466,0.115,0.234,0.146,40.2,41.6,25.6,37.5,81,68.4,"224",67.4,15,41,56,19,22,6,15,3,98,35,87,11,43,17,21,62.6,12,37,49,14,21,10,11,0,96,37,89,9,24,13,19,1.45,2.75,-5,184.5,"N","Y",2
"2020",2019-11-01,"Brisbane Bullets","336789","Perth Wildcats","Brisbane Entertainment Centre","Home",1,87,78,87,78,71,71,123,110.3,0.519,0.071,0.405,0.077,0.523,0.17,0.265,0.154,43.6,46.2,40.6,32,60,66.7,"199",69.8,16,26,42,21,19,6,5,1,87,34,78,13,32,6,10,55.9,12,28,40,15,13,3,12,5,78,30,65,8,25,10,15,2.05,1.78,1.5,172.5,"N","N",9
